user,review_title,review,date,translated,entities,sentiment,sentiment magnitude
Clare,Fabulous!,"This is a lovely hotel, very well priced for excellent service (Particularity Sajid in the Ocean restaurant), old school style luxe. Location is a little noisy currently due to construction works nearby, not the hotels fault but something to bear in mind if you wish to spend significant time by the pool.",Date of stay: March 2020,"This is a lovely hotel, very well priced for excellent service (Particularity Sajid in the Ocean restaurant), old school style luxe. Location is a little noisy currently due to construction works nearby, not the hotels fault but something to bear in mind if you wish to spend significant time by the pool.","{'name': ['hotel', 'service', 'luxe', 'old school style', 'restaurant', 'Particularity Sajid', 'Ocean', 'Location', 'construction', 'mind', 'pool', 'fault', 'hotels', 'something'], 'type': ['LOCATION', 'OTHER', 'OTHER', 'PERSON', 'LOCATION', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER']}",0.3,1.1
Gillian V,Birthday Treat,I would like to thank Mr Prasanthan for organising the table for Mrs Shehani Rozairo's Birthday Luncheon and also the complimentary cake provided which was a surprise to her. The ambience is as always fantastic and food excellent and the attention excellent.  Thank you once again and will definitely visit again.,Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Derek,3 Nights at the Kingsbury,"The bed was the hugest that I have ever slept in! I enjoyed the breakfasts; the dining area was vast and offered a great variety of food. The staff was very helpful and friendly. One morning a waiter named Joseph made a couple of pots of coffee just for us. Another morning a waitress called Nipuni went and brought egg hoppers to my table for me. I loved the location, and I recommend a walk along the beach day or night, when it is bustling with activity.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Loub,Friendly atmosphere,Enjoyed a great stay at Kingsbury Colombo. Amazing friendly staff. Nalintha and Richard front desk were very welcoming and happy to assist us with any enquiries. Highly recommended. Kings Steak restaurant was a great choice for dinner.,Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
roshneil,Identity crisis,"Nalitha was great at check in. Hotel is quite nice, Hotel is having a bit of an identity crisis, it is a cross between a 5 star hotel and a after 6pm sort of turns into a rave type party with the horrendous loud doof doof  music being played until 11pm, it’s  what I would expect from a back packers hostel. For this reason I would not stay here again",Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
S B,Impressive hotel with outstanding food,"Well appointed comfortable rooms.. though the pool facing room actually faces the Barbour which was not nice. The food in the outlets are outstanding . Crab cakes, the  lobster and prawns superlative. The breakfast has a fabulous range.",Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Junhi,"my stay was comfortable, staff friendly, but apart from managers, they need to train more their staff in English","The hotel is one of the oldest one which has been renovated with a fine taste, quite elegant and it has a heritage flair, which I liked very much. The room is small but well organized, the only thing I did not like was the low ceiling, probably they squeezed the building to have more storeys when they renovated.  And many of staff needed to improve their English, otherwise, my stay was comfortable and food in cafeteria is quite good.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Lpa_66,Awesome,Thank you Kingsbury we came in 2017 and loved it once again you were amazing.  The food and service still fantastic and still the most comfortable bed and pilliows had the best nights sleep.  Will definately be our go to hotel in Colombo,Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Colin W,Excellent Hotel with great customer service,Great location and excellent customer service. Rooms are clean and good bathrooms. Breakfast is great and one of the best spreads of food with many choices. Special mention to Chef Jayasinghe for his attitude and willing to help customer needs. Great customer service all around . Overall excellent stay.,Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Tanya B,Ocean Seafood Restaurant,"Great seafood restaurant, best in Colombo! We had a delicious meal and drinks. Mussels, squid and curry were super tasty.  Service and ambience are great!  Sajith and Geethaka provided is with the fantastic service!",Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Michelle M,got excellent services,"We got excellent services from waiters, saijth, Chalitha and Amila. Especially the food are fresh seafood. Highly recommended the lobsters, Red Snappers. Good tea, coffee, desserts. Nice view and good chef.",Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Antonio,Great hotel,An excellent hotel in the center of Colombo in Sri Lanka. The room is very clean. The chief of concierge Priyantha is very helpful and friendly such as all the stuff. The pool and the honey beach club is excellent.,Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Mohan S,Best hotel in Colombo,"I have stayed in about 6 different hotels around Colombo and I can easily say that this hotel is the winner. Both in terms of price and the quality of stay  The restaurants are tastefully done. The bar by the pool is amazing place to end your day. If that is not enough there is another cool bar on the rooftop where the view is amazing.  Breakfast : never seen such a wide spread of different food.  Hospitality : this is the aspect which is the best part. You are pampered.  Only drawback : compared to other hotels, rooms here are a bit smaller. In terms of creature comfort, no complaints",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
