user,review_title,review,date
______ _,__,The place is very good and clean. Staffs Are super friendly specially the receptionists Daniel and Chamara.. Feels like home here..  this Place is awesome for solo teravellers like us and for couples..,Date of stay: February 2020
Irish Wanderer,,,
Jignesh AR,,,
Kate Parker,Easy Pleasant Stay,"If  you looking for a city hostel in the Colombo area? Then look no further than the Clock Inn Colombo., Clock Inn provides both private rooms and sleek dorms, both of which offer complimentary Wi-Fi, linen, towels and lockers. Dorms house 4 to 6 beds each and have shared bathrooms.  Easy pleasant stay.",Date of stay: December 2019
Joshit,Perfect for Backpackers,The Hotel is near all the tourists' locations of Colombo. The Restaurant area is very nice. The property is a hotel cum hostel and a perfect place to stay for backpackers or family. The sea area is 5 mins walking from the hotel.,Date of stay: December 2019
Laura L,The friendliest people in Sri Lanka works at the Clock Inn,"I had the best time at the clock-in hotel, the staff is beyond friendly and helpful, the hotel is located in a great spot of the city, you can find restaurants, shop and anything you need. They also have fresh breakfast so in addition to fruits and and cereals the chef will make you delicious eggs! Big thanks to the receptionists Dulaj, Daniel and the accountant, Gimhani, the best part of staying at the hotel was to mee them. I'm sure I will be back very soon!",Date of stay: December 2019
Indrasis,,,
Leepakshi,Enjoying my stay,I like the hospitality and majorly the staff is very helpul and instant.. The guy name daniel is helped me a lot for things to find to reach to the destination i wanted to travel and also helped me to order the food from outside when i came tired and hungry.. Pramod the kitchen he makes very nice egg fry and egg bread toast its so tasty..   I thanks to the staff Will come here again,Date of stay: December 2019
India,Its amazing stay in clock in colombo,I stay in clock in colombo for 7 days and hotel building very nice.  Superb Location.  Rooms and bathrooms are very neat and clean.  All staff are very help full and much co-operative.  Every points staff are helpfull to us who is coming from abroad and also there is in Srilanka.. Staff are very polite.  Morning breakfast is very nice.  I recommond to stay at Clock in colombo and enjoy there much.  Thanking you.,Date of stay: November 2019
Paresh P,I am From India .,"I have stayed in clock in colombo and nice stay there..  Very nice location and hotel is very neat and clean ... superbb  All staff is too much help full.  Staff is very polite and co-operative  I advise to all who visit colombo , Must be stayed in Clock in Colombo  Thanks.",Date of stay: November 2019
Vin,,,
Frederic N,Could use a revamp,We stayed at the Clock inn for two nights with the family. This is a small budget hotel but with some effort can be so much more.   Bedsheets were not clean upon arrival and had to be replaced. Staff was not unfriendly but also not very entertaining.   The whole hotel could use a lick of fresh paint and some touch ups. It would really make a difference.  Room was spacious and quiet.   Breakfast was rather poor. Better to get some breakfast a bit further down the street.   Arrangements for airport pickup were done professionally and email communication was great.,Date of stay: August 2019
nike,Excellent Staff,"Excellent staff  24hrs reception and staff are very nice and Dhanushka,Suba,Eranth very nice. morning 7 - 10 breakfast cooking omelet delicious. my first visit to Srilanka Clock Inn Staffs making fabulous stay in clock inn",Date of stay: June 2019
Michel,,,
ManishkaDharmaratne,“Service was hell”,"At the check-in didn’t even bother to greet us. I was the one who wanted to break the ice but it didn’t go well, just sent us to the room. No one came to check whether everything is in order in the room. Television wasn’t working so when i asked them to fix it he just came and looked at it and then he said he will be back when his colleague comes but he never came back. Telephone wasn’t working but I didn’t complain cause I didn’t want that but could have saved some time to go down to the reception by foot. In the morning when i wanted to have breakfast no one was there to guide me I didn’t know anything, everything was all over the place so just drank the baddest  juice i ever had and came out. You are on your own if you are here. Had a taste of typical Colombo bad attitude",Date of stay: June 2019
Prakhar,Clock inn Colombo review,"Has a hostel feel to it. Located on the main road, with reachability to all the main attractions. The service was average but commensurate with the price. The private rooms are although very small but clean. Overall an okay experience.",Date of stay: October 2018
godicham,Great staff and location,"People are very good managing Clock inn Hotel, staff is quite helpful. rooms size is normal but location is very nice and the lobby is very enchanting and beautiful.Medium size bathroom with shower. Took a little longer to get hot water in the evenings,Thanks you Clock inn team for your all hospitality.I will visit again!!!",Date of stay: April 2019
Thomash,,,
Devaa,A very pleasant stay!!!,"Reached at wee hours in the morning tired ,but the pleasant greeting of Daniel at reception made me feel so comfortable and welcoming.Every thing is so good location 2 min walk from the beach. Did some shopping at Mini Sou just underneath.Had a fantasist 2 days stay here . Breakfast was good too. Two small drawback is no lift one has to carry the luggage to 3rd ,4th or 5th floor and the bathroom do not have any place to keep your toiletries otherwise perfect. The staircase looked so nice with those wall graffiti in uv light at night.Lucky to have the dorm room all to myself .Will come back again.",Date of stay: February 2019
AlexButtWaiChoon,,,
Muckhart Dave,Good budget option,"We stayed here for one night at the start of our Sri Lanka trip and it did the job perfectly. Nothing here will blow you away but the room was clean (though you could smell the cleaning products), the staff friendly, the breakfast good and the location great. For a short stay this had everything we needed.",Date of stay: January 2019
Haarby,Simple and efficient,"Hostel is clean, well situated, air con works well. The location of the hostel is in a good location and near bars and restaurants. The hostel lacked atmosphere and could improve on the fun element. Also found the staff running the hostel couldn't advise on what to do and see in Colombo.",Date of stay: December 2018
PaulParks,"Efficiency size room with good AC and great WiFi; cute lounge space in the lobby, some open air tables","Our room was a little cramped with two people plus luggage. Just enough room to get around both sides of the bed. But it was sufficient and clean. Medium size bathroom with shower. Took a little longer to get hot water in the evenings. Window offered a view of a wall four feet away. The chilled common area is the nicest part of this accommodation, with uniquely decorated tables and brightly painted walls. In one corner of the lobby is a lounge area with pillows and a library. Outside the lobby is an open air, shaded strip with a few tables. Breakfast buffet is just outside the lobby. Little change day to day in the basic selection of one fruit, mixed vegetables, chickpeas, breakfast cereal, toast. Eggs are made to order. The fried “Eggs Supreme” is a delightful mixture of",Date of stay: December 2018
Adarsh R,Nice location,The best part is the location and accessible to 2 nearby malls and Galle face.  Stayed here as a layover before our Sri Lankan trip. The people at the front desk were helpful and let us stay an extra hour.   Would stay here again!,Date of stay: December 2018
G9119GPwilliams,Best place to stay,I have over past year stayed at the Clock Inn 8 times The staff make me feel at home and are keen to be of service. Rooms are clean and everything is in order. I highly recommend you stay here when you visit Colombo.,Date of stay: December 2018
