name,review_title,review,date
Henry240,,,
vchinthaka,,,
Ishan,,,
Arnab S,Still going strong after three decades; superb F&B options,"We stayed here for two nights as part of our week-long trip to Sri Lanka during early March 2020, just before the COVID-19 crisis would reach its peak in this country.   This was a family trip for the four of us and like before each such trip I contacted the GM to check on a few things.  My email exchange with GM Manesh Fernando turned out to be quite pleasant.  I am Honors Gold and the status was recognized.  We were immediately confirmed for a very early check-in (around 6 AM), got upgraded to a corner suite and even had an extra roll-away placed in our room.  I was a bit surprised to know that they didn’t have a kids club or the sort, while direct access to the pool side via the bridge was off during our stay.  However, with the kind of packed schedule we had during our time",Date of stay: March 2020
capitalkid186525,,,
Ampys,Best view hotel n amazing food,Great place for business as well leisure travelers. Very close to all places. Nice food n big rooms. Great staff behaviour. Many veg food options available. Must n highly recommended place everyone who wants to be in Colmbo for a trip,Date of stay: February 2020
Vinod V,Great stay,"Highly recommend this Hotel and location was excellent ,great facilities ,Beautiful water garden lots of fish and swans by the restaurant. Staff were excellent would do anything to help. At evening we dined at the bar restaurant with live music and were well looked after by mr (Saman Gamage) and his team excellent service. All the lobby staff were also very helpfull and we got attached to all member of staff, hope to see you all soon , and thanks for your great service, God bless you all",Date of stay: February 2020
Nigel P,Great 5* hotel in great location,"Love this hotel.  Breakfast was great, rooms were great, well equipped gym, spacious rooms in great location.  Staff very accomodating prticularly in the restaurants where they would be happy to produce items not on the menu. Only thing missing is a rooftop bar.",
mihaela f,Excellent Executive Lounge!,"This a nice hotel with a newly renovated lobby and restaurants, which are always quite full and very lively.  But what really stood out for us was the executive lounge.  It has a good variety of food and nice drinks.  Thanks to Krishantha Perera, the lounge manager, and his team for making our time in the lounge great.",Date of stay: February 2020
Christine J,Comfortable Stay,Stayed for 2 night 3rd and 4th March could not fault the service.  Rooms may require some updating but are spacious and beds and pillows excellent.   The staff cannot do enough for you.   Buffet in the restaurant was excellent and live music in the bar.  The best Hilton I have stayed in,Date of stay: March 2020
Jv055,Business Trip  - regular,Always a pleasure to be at this Hotel .....with staff who understand needs and cares especially the Breakfast service at Lounge ....special mention for Mr. Dinesh and Sachila...excellent attention to details,Date of stay: March 2020
runner051,Exceeded expectations,Classic luxury Hilton. Extremely secure. Every single staff member was outstanding. The executive lounge was perhaps the best I have ever experienced at a Hilton with daily food offerings that varied and included lots of different Sri Lankan food. I was there for 3 days and didn’t eat or drink anywhere else. Level of service exceeded all of my expectations.,
Philipp G,Short trip to Colombo (2 nights),"We arrived in the evening and booked the pick up service from the hotel. Our stay was short, but really comfortable. Everything was great - Service (easy check in) - breakfast (big choose) - cleanliness",
