name,review_title,review,date
Supunonline,"Great atmosphere, great service.",I visited Vistas Roof Top bar with couple of friends of mine on a weekday in February while I was in my Sri Lankan holiday.   I have heard this place has one of the best sun down views in Colombo and I was able to witness it by myself. So our only intention was sit down and have couple drinks and leave to our abodes.   But this was completely by changed our outstanding friend Chalana who took care of us till we leave the place. If I am not wrong took our seats somewhere between 17.00 or 18.00 and we were there till midnight. Chalana serviced us in a very friendly but professional way. He explained about the offers and deals very well and also suggested some great food to go with our drinks. He made sure we enjoyed our time in here and his colleague Amal gave him a good support.,Date of stay: February 2020
Kumudu T,Great stay and friendly staff,"This is my 3rd visit. A great hotel, big rooms, nice breakfast and friendly staff  etc. I highly recommend this hotel. Only improvement I suggest is executive room for the executive floor is on the  ground floor. They have sunset drinks in a dark room, when they can easily have this in their rooftop bar.",Date of stay: March 2020
Hussain,Beautiful hotel,We had a very happy stay at the hotel. We were supposed to stay 6 nights but unfortunately we had check out early. We were assisted by Dinesh and the group at the reception at every moment and I would like to give them a big thank.,Date of stay: March 2020
ritesh8385,Best place to stay in Colombo!,"One of the best hotel in Colombo with friendly staff and excellent room service.We stayed in the Ocean view room,room were very spacious with good view of the ocean. One of the best room service I have came across in five star property,every requests were fulfilled within 5 minutes. Book Half day city tour from Hotel Concierge and was lucky enough  to Get Mr Laxman as our Tour guide,he was excellent and guided us very well.Special Thanks to him for taking us to the most genuine place in Colombo to buy the tea. Will visit the property again",Date of stay: March 2020
Tomato,,,
Faye Q,Fabulous stay,The hotel is centrally located with everything just a few minutes away. The staff are extremely courteous and go out of their way to make sure you’re comfortable. The hotel has a lovely rooftop bar and pool which has a gorgeous view of the ocean.,Date of stay: February 2020
jayanath77,,,
Anthoney A,Best place to stay!,"Amazing staff and accommodations!  Ishara Dilrukshi made sure my room was perfectly clean and comfortable every single day!  She went above and beyond to provide the best experience, making sure my room was in perfect condition every day when I arrived by leaving extra soap, shampoo, water bottles, Nespresso pods and so much more!  The rooftop swimming, bar and lounge was absolutely breathtaking!  Kapila, Shamen, Amal, and Dinusha are the most friendly and experienced bartenders I've ever met.  They go the extra mile to ensure you are thoroughly pleased.  They are also perfect to talk to for the best guidance on where to go to get anything you want!",Date of stay: February 2020
Maps297113,Fantastic stay at Movenpick,"Ishara Dilrukshi was the best room cleaner ever...!! The hotel is really excellent. Breakfasts, location, views of the Indian Ocean and the rooftop pool and bar are amazing. What else is there to say... every time I go to Columbo I stay here.",Date of stay: March 2020
abdullah,,,
AJ W,3 days at the hotel,Good hotel. Friendly staff. Spent quite a while inside the hotel and the in room dining was excellent.  Friendly service by a one of the staff named Kingsley.  Would recommend this hotel to others as well.,Date of stay: February 2020
mansoorlimba,Majestic Room,"Impressive indeed is the Majestic Room and excellent assistant in housekeeping needs, Ishara D. Delicious foods in all its restaurants. Friendly staff. Thank you Movenpick Hotel for the eight days princely experience!",Date of stay: February 2020
Qadros3,Friendly staff,The moment I entered the hotel i realised that I have done a good decision to choose this hotel.very friendly staff from reception to everywhere.good rooftop bar. Nice view.thank you everyone for making our stay wonderful,Date of stay: February 2020
Navtej G,Great roof top pool and drinks area,We visited family staying at this hotel. The general feel of the hotel was modern and all the areas we visited were well maintained and clean. The roof top drinks area and pool were fantastic. A large area with lots of seating with great views over the city. A really great afternoon over a few drinks with great views of the city.,Date of stay: July 2019
Reveka,Grate service,Hotel is very beautiful.Robata restaurant was very clean and good service specially for Dayanga he was very helpful waiter and also thanks for chefs..and good luck we definitely recommend ur restaurant specially teppanyaki 🥰🇮🇹,Date of stay: January 2020
RM19902013,,,
Saga,Number one teppanyaki in colombo,"I love teppanyaki here very much good food, quality and very good service  from dayanga he is very funny person.excellent food  served by him. Chef sudrshana he is skillful, fun, engaging and entertaining. Server and chef better  combination .the food is fresh and delicious. We have a great time.. Thanks we will come back soon.",Date of stay: January 2020
