user,review_title,review,date
tuanimran751,valuable stay 😊,we stay 14/03/2020 to 15/03/2020 really very satisfied with OZO hotel cleanliness and hospitality service.sea view from our room number 707 really beautiful.keep it up guys hope to see you’ll again. thank you 😊,
AweJames,,,
1 of 4 Seniors in Sri Lanka,1 of 4 Seniors in Sri Lanka,Very Clean . but is mostly a transit hotel for people leaving Sri Lanka as it is not far from the Airport.  Beware not to expect the restaurant to open on Saturdays or Sundays . Food is only served on those days in the roof top bar and the menu was limited. Close to the city for a city tour.,Date of stay: February 2020
LUFChefTri,pre-airport Stop over,"had to rearrange this booking for the night before a flight out of Sri Lanka at short notice due to covid-19. hotel was very accommodating and changed at short notice. it was only for a night and the stay was  good, i would say its a very good of a business hotel, well situated and all the amenities needed, also had an amazing sea view",
alanwoods,,,
Tourlover2014,,,
shashika2365,Such a wonderful place with excellent service,We had our wedding in your wonderful hotel.special thank to chef Clifford and Mr. Shreetharan and the girls at the reception too. Appreciate the great job.   Wish you all the very best💐💐👌💐💐💐💐 look forward to visit you again. The sea view rooms are beautiful with high quality cleanliness,Date of stay: March 2020
Ajith,Excellent stay,"Very good room, excellent food, and great service! The restaurant and rooftop have amazing views! The rooftop menu can have more options. Good walkway in front of the hotel which is right next to the sea.",Date of stay: March 2020
Drex_ZW,Nice hotel,"Nice hotel. Helpful staff, decent location (cheap to get anywhere by tuk tuk). Nice rooftop bar for food/drinks. Nice rooms, very comfy beds. Reasonably priced. Would definitely recommend. Also some excellent food options nearby - Al Maas is just a couple of blocks away, and 1UP Cafe as well. Also one of the coolest temples is also 5 mins walk way.",Date of stay: February 2020
Vishal M,A decent business hotel with a good view,Our stay at Ozo was fairly decent. The hotel had a European business hotel vibe to it. It is located in the famed Marine Drive locality. The interiors had a Scandinavian minimalist vibe which we quite liked. Something that definitely surprised us is the absence of a concierge or bellboy to help us with our luggage....we did struggle quiet a bit with it to say the least. The food was decent and the restaurant view was pretty nice. The rooms though small were pretty nice and stuck to the brand color palette to the T. The rooftop bar rates were pretty affordable compared to other rooftop bars. Would definitely love to stay again....guest service could be improved by a bit!,Date of stay: February 2020
Sushil,Fantastic Stay,I stayed in this hotel for 2 nights and found it extremely comfortable. It is a self service hotel so I had to take the luggage myself to my room. Other than that everything was just right. The room window looks over the ocean and gives a very soothing effect. Rooms are very clean and comfortable. The size is a little small though but you do not feel cramped. Location is plus as for late night eating there are food trucks nearby on marine drive. Swimming pool is on the roof giving a beautiful view. I would love to stay again.,
Alok S,A second home for me,"I have been coming to Ozo Colombo for quite some time and never felt the need to look out for options. The reason is the homeliness I feel here with people, surrounding and services.  All the team members are very very pleasant and welcome smilingly.  The ocean view from the rooms is amazing , refresh you.  The team at reception / front desk / customer relation is wonderful, friendly, cooperative  (Bishan, Mandeera, Bhanuka, Kuhanjith, Nalin, Sameera, Angelo ++) . The team at Eat ( restaurant) is very friendly  ( Champi, Thameera ++) .  All in all, a place worth experiencing in Colombo to stay. Importantly, they also take good care of security and systems are in place.   Ozo team - thank you all very much for all the cooperation, services you have rendered so far.   Sorry if I",Date of stay: February 2020
