user,review_title,review,date
joeycalgary,Great Location to Chill Out in Columbo,"We only stayed at the Ramada for one night on our return home during the coronavirus outbreak. Despite the hotel suffering their own effects from the virus, the people were caring & concerned about us, despite their own concern for their jobs. The room was very comfortable and it was the best shower we’ve ever had in any hotel ever!  The location is perfect in Columbia 3 with quick and easy access to the best that Colombo offers: Beautiful old trees, Old colonial buildings kept with a Sri Lanka twist, and fantastic shopping - Don’t miss Barefoot!  Highly recommended!",Date of stay: March 2020
David B,Good first impressions,We have much enjoyed our first visit to Sri Lanka and our stay at the Ramada Colombo has been very enjoyable.  Right from the welcome drink at check in through the smooth and prompt delivery o f our bags excellent food and bar service.  A special mention for the doorman Chinthaka who chatted and gave helpful advice as to the nearedt ATM and good places to go for a short stroll.  It all added up to very good virst impressions of Colombo and Sri Lanka.,Date of stay: March 2020
madupriya,Food outlet at Ramada Colombo,I ordered snacks for a party from food outlet at Ramada Colombo. Food at “baked” outlet is tasty and priced reasonably. Variety of snacks were available. Service provided by steward Emil was excellent.,Date of stay: March 2020
blacktown2017,unadvertised,"very nice hotel indeed, very clean, close to the beach, fast internet and has an excellent cook....i had the best meal in the restaurant, room service was a bit slow but acceptable. polite and helpful staff",Date of stay: February 2020
Mohamed R,,,
Amzy,Bar,I would like to recommend Shehan in the bar. He gave a awesome service to us. He is well known of what is customer service. When other waiters ignore things of customers he is very fast on serving things. Simply he is a asset to Ramada as a staff who has good interpersonal skills,Date of stay: March 2020
Mustaque A,,,
Ramesh Ponnusamy,Excellent Stay,Stayed in Ramada for 5 days .  Awesome rooms .  Very clean spacious  Staff very friendly ..  breakfast spread fantastic ...  will come back to stay here whenever I travel to Srilanka..  cheers to Ramada Colombo ...,Date of stay: March 2020
ellamaewatson,Average hotel in need of an upgrade,"Check in process was smooth, staff were as helpful as could be. On arriving at the room the double bed was more a small double and not very big.   The bathroom was the best bit - the rainfall shower was amazing after a boiling day in Colombo.   We visited over Christmas and the staff an entertainment was good. The restaurant not so much - very basic breakfast.   Would stay again but they are in desperate need of an upgrade.",Date of stay: December 2019
siviag2015,Excellent Service and great staff !,I stayed in Ramada hotel just last week and my stay was as pleasant as it could be . The location of the hotel is just perfect right in the centre . The service is amazing . All of their staff is very courteous and friendly who go out of their way to help you and make you feel like home . A special mention of Mr. Alex there who helped us in all ways possible . Ensured we are so well taken of . Kudos to him and the entire team for leaving me with no option but to book Ramada for all my subsequent visits to Sri Lanka !   R K Goyal  Ludhiana  Dates stayed  22nd to 25th Feb,Date of stay: February 2020
Ijaztabassum,Great stay,"Very good to live here, excellent environment. As I'm a regular guest to your hotel I am used to everything.also the staff are very friendly.specially front staff.ms nimesha ms geetha mr.lakmal all are so cooperative.will come next month as well.room number 807",Date of stay: February 2020
Siva,Good Rooms,"The room was big and neat , the house keeping staff also helped alot. It was a 10 days stay for me here. But the front office staff nears to learn how to behave with customers sometimes they show faces which is not a good sign. I have stayed in many 5 star hotels and what makes the stay special is the treatment we get for paying the high cost.",Date of stay: February 2020
Glynn M,2 day stay before  cruise,Hotel very good. Staff very friendly and helpful. Prices very reasonable. Food good would recommend  this hotel. Situated close to docks. The only issue we had is that smoking seems to be  acceptable  but this maybe the norm in Sri lanka.,Date of stay: February 2020
waruna j,Great stay thanks to nimesha,We had a great stay at your property. Really enjoyed our stay. Very comfortable service.staff also very friendly.specially would like to mention ms nimesha who was so friendly and took care of our stay.also while front staff.thank you so much for everything.will visit on this coming April.,Date of stay: February 2020
Avantika S,Excellent stay,I had a great stay with ramada colombo.specially I would like to thank manager of front office ms.geetha for helping me with my stay. Really appreciate their service. Their front desk team are very supportive and always smile and happy. I will choose this property as my permanent staying place.will come and stay with you next time as well.thank you.my room number 810.,Date of stay: February 2020
Mohammed Illmudeen,Valentine buffet,I was there on the valentines day with my wife. To be honest the buffet was arranged well. And the foods tasted so good.The staffs were so approachable. Also I would like to Mention The staff Suhail for the great service given. He was so helpful from the begining. Overall everything was great.I will definitely be there for the next valentines. Thank you,Date of stay: February 2020
takshit k,Wedding,Very good hotel to stay and also very good services provided by Mr Suhail  From next time will sure visit here again and get more friends and family as well  Food is also very good and pool is clean and tidy,Date of stay: February 2020
Lishani R,My baby’s first birthday party,Hi  Ramada colombo. Thank you so much for the superb birthday party. Ms. Naz (sales) has done a great job while coordinating with us and Mr. Prasanna ( restaurant manager) was very helpful and flexible with all our requirements. Also just wanna thank for whole crew involved for the event since they were very active and more helpful.   Date 7/2/20,Date of stay: February 2020
