"user","review_title","review","date"
"saradurban","lovely hotel","lovely hotel  we had a lovely sea view room  excellent service  and friendly staff good breakfast choices and selection  nice room sad history though! will definitely stay here again higher floor with seaview is a better option","Date of stay: February 2020"
"NorthStar581566","Afternoon tea","Lovely food at the Colombo Shangri-la. Lots of options and great taste.  Suhail, Nimesh and Janu were incredibly professional and so friendly. Great afternoon with my mum and sisters! Will be back for sure. Thank you!","Date of stay: March 2020"
"Dinushika","Shangri La - Kaema Suutra","We had our dinner at Kaema Suutra on 11th March 2020. The outside area of the restaurant is little smaller than other restaurants although the food was delicious and surved by extremely professional manner. Staff was highly polite and helpful and took very good care of us since beginning to the end of our dine. A special thank should go the hotel for inventing new herbal handwash to it's guests. The herbal handwas made by using Sri Lankan herb plant - ""Iramusu"" was very good and for me it was really nicer than the chemical handwashes. Thank you shangrila for making our day a remarkable one. Definitely the one of bests in Sri Lanka.","Date of stay: March 2020"
"Chef Jonathan",,,
"craig c","Excellent Service and great food","Warmest welcome received from the staff and personal attention was given by Mr.Lakruwan towards the whole evening. Also not forgetting the chef 'Chef Almeida' for the great food and flavor added to the whole course. Great job 👍","Date of stay: March 2020"
"Daphne S","Shang Palace","Sampath & Team did provide excellent service & suggestions off the menu. Ambience was to our liking. Value for money.  I would also like to include the Coffee Shop experience where we were served by Lakruwan, very pleasant & accomodative, & Bartender Chameera who served up a great Affogato.","Date of stay: March 2020"
"Enkhtuya","Nice place","it's an amazing hotel to stay in Colombo. especially its location is the best. right across the ocean, you can walk by it whenever you want. very close to the city center and other commercial areas. highly recommended","Date of stay: April 2019"
"josh C","Love Shangri-la","We came to celebrate my mother's bday. We really had a nice time!Their hospitality was great. @Rumesh helped and served us really well! And specially thank you @chef Almeida food was  delicious:) we really love it. So happy that we chose Sapphyr Lounge❤","Date of stay: February 2020"
"Mini B","Shanghai-la Colombo Afternoon High tea","The perfect location and ambience for a memorable high tea with family and friends.  We really enjoyed the music along with the delicious food. And we received the perfect hospitality from Lakruwan with his amazing smile and attentiveness...  In conclusion, This is the perfect place for an afternoon tea ☺️","Date of stay: March 2020"
"Shafiq A",,,
"Bes","Dinner Capital bar and Grill","We are staying in Colombo and went to this restaurant/bar. On arrival all the staff were very welcoming, friendly and knowledgeable.  Great cocktails and lovely Champagne at reasonable 5 star prices. Dinner was delicious with large portions, great presentation and service. When I mentioned I could not eat dairy the chef came to our table to discuss my menu choices which gave me confidence that they understood my dietary requirements. Our waiter Kavindu was excellent and we enjoyed his professional and friendly service. After dinner we stayed to enjoy the music in the bar which was also a really good high standard. Security on arrival was excellent and we felt very safe in the hotel. This really is a great hotel to visit in Colombo.","Date of stay: February 2020"
"Shabana H","The best place in Colombo","Whether it’s a weekday or a weekend, Shangri-La Colombo has been “the” best host for family and friends. From Dj Ruki to the management and staff, they have really offered a five star service every time we visit Kaemasutra. The staff here at Kaemasutra is the main reason why we are regulars. Much appreciation to Michael (manager) Dulaj, Ashane, Jagath, Shehan and Kalana are amazing! Nowhere else in Colombo offers the welcome they showcase. As a hotelier, I give a big thanks to the management as their work ethics reflect on how their staff mirror Service toward guests.   Kudos towards the management and staff at Kaemasutra! We will always be regulars because of the staff!!","Date of stay: February 2020"
"DuxieCanada","All I can say is ""wow"" !!!!","We were lucky enough to be upgrade to an executive floor at this hotel. Wow. The room was huge, the view spectacular. The happy hour in the lounge great (we did not need to have dinner out!). Breakfast also good. Security is incredible (this was one of the hotels involved in the bombing last year) and we felt very safe.  The staff were incredible and the place was very professionally run. Shout out to Nadeesha who was full of information and recommendations.  Pool also great with great views.","Date of stay: February 2020"
"Indy P","Super Hotel","We had an ocean view double aspect room and for the price it was good value. The staff are amazing and need to be commended. We had a particularly good waiter when we had drinks in the main lobby/reception area. Sadly, I forgot his name but I am sure it began with L. Food was excellent and I have no hesitation in recommending this place to anyone.","Date of stay: February 2020"
"Mano77","Great For MICE Tours","I stayed in this property for 3 Days attending an incentive tour organized by my company. The team at this hotel is full of hospitality . Super service and all facilities are new and matches today’s trends for MICE tours.   I was helped by two young ladies inorder to get my wife a anniversary gift when go home and to assist me with transport. big thank u to them Elina and Radika she loved it. I will bring her one day to Sri Lanka and to this great hotel.","Date of stay: February 2020"
"Abdulaziz A","Perfect in every way","With lovely surprises at every corner our stay at Colombo was a pleasurable perfect experience and I must thank the entire Shangri La team during our stay.   I can’t speak of the team without mentioning Hashan whose attention to detail attentiveness and kindness made our stay very special.    Mr and mrs Alrushodi","Date of stay: February 2020"
"Hannah","Shangri-La Colombo","Colombo is not a strange destination for me. I have done many flights to Colombo as a cabin crew but this was my first stay in Shangri-La Colombo. In many other hotels we don’t get much attention may be because we are cabin crew (glorified waitresses) . I met this incredible gentleman at check in Mr.Hashan who comes from cabin crew background. He is simply amazing and yet very professional. When I did not like my room and returned back to lobby hashan did not ignore me. He was very kind enough to change the room and took time to check on us till we leave the hotel.  I have noticed he is very friendly with every customer who walk cross the lobby. The hotel has a good selection of restaurants. I wish I was there to explore all restaurants. The housekeeping staff were very nice.","Date of stay: February 2020"
"GHASSAN","Amazing place and staff","Great place, great people. Service is superb, staff are amazing and very helpful with a very big smiles.  Food is fresh and so tasty. Thank you Shangri-La Colombo  for your unique, outstanding facilities and services. I would like to extend my sincere thanks and appreciation to the restaurant staff they are amazing and a special thanks to  Devin for making my stay with the family so enjoyable and really feeling home. Also a special thanks for Auzil  who always takes extra miles to make every guest more than happy.Also my thanks go to Dulan from room services ; please keep up the good work and the nice smile . It was really amazing experience and I would definitely come back to this outstanding hotel and staff. Kind regards","Date of stay: February 2020"
"Mr_Mi","First class really","Stayed here for 3 nights as the last part of our 2 week holiday in Sri Lanka.   We stayed in a horizon club room. The first room we were given smelt musty, it was a corner room. Upon reporting it, we were swiftly moved to another room without any fuss.   We wanted to relax and not rush on the final part of our holiday and we were able to do that. Using the gym, pool and even booked in for a massage as well.   The Horizon Club benefits were soo good that you could pretty much eat in the lounge and not have to go to the restaurants at all. We did go out to eat in the steak restaurant downstairs and in the mall just for a bit of variety.   The staff were attentive, polite and courteous and asked if we had everything we needed.   Particularly liked the SPA Ceylon products. I went to","Date of stay: January 2020"
"Sid",,,
"jonnevin","Perfect in every way. Great staff","This is easily the best hotel in town and worth every penny. The facilities are immaculate, the location is great, the food is excellent and most of all, the staff is as good as it gets.   The manager, Radinki (believe correct spelling) made such a difference in our trip. Despite having a full hotel due to a conference, she made us feel as though we were the only guests there. We ended up having to unexpectedly stay another night, and she saved the day.","Date of stay: February 2020"
"Susheel Lakhera",,,
