user,review_title,review,date
pjlrst,"Great location, extremely comfortable beds, amazing staff!","For a ""capsule"" hotel, this is a GREAT spot! Location is brilliant. right in the center of the Fort area -- easy to walk around this beautiful historic area. The capsule has plenty of space, especially for one person, as well as multiple plugs and USB charging ports and great lighting. The whole place is clean and tidy. Showers have hot water. Wifi is very fast.   I cannot say enough about the staff -- they are fabulous!!! Very friendly, very helpful, just great people that make the stay that much better! The breakfast changes each day, always plenty of food (fresh fruit, coffee, tea, fresh juice, and yummy hot foods) and is very tasty and filling. I booked for one night, but ended up returning and would definitely go again! And the bed, pillows, comforter, all SO comfortable!!!",Date of stay: March 2020
Selma Lee,"Nice location, friendly staff","I stayed in Star Anise 2 times when I travelled in Sri Lanka. Nice place to stay when you fly in /before fly out of Colombo. Friendly staff and clean comfortable environment. I love their breakfast. And it’s located in Pettah area which is very close to train station, bus station. 10-15 mins walk.",Date of stay: January 2020
Logan Walker,Easy Access,Star Anise Boutique Capsule is Sri Lanka’s first luxury capsule hotel that offers guests private sleeping sanctums at an affordable price. Each capsule is designed with a combination of modern and antique touch and comes with a seating area and a bathroom. They also come with modern amenities like television and free Wi-Fi.  Some capsules also offer a view of the garden. The hotel offers a continental or à la carte breakfast.,Date of stay: January 2020
Žaneta B,,,
Kelley Chang,Very shady manager...,My flight got delayed in India for 2 days so when I arrived in Colombo Sri Lanka at 4am my booking was canceled by my hotel... I went to the Star Anise capsule and the manager charged me 3 times the rate... I had no choice because at that hour a lot of places weren't open... I needed internet so I could rebook my stay at one of the hotels... I booked my room and took a 2 hour nap... I woke and the mam get approached me and demanded I give him a early check-in fee... The price of a night's stay there on top of the triple charge... This guy is shady and crooked... I left as soon as I could... You don't want to stay here with this kind crooked and courpt people... What would happen to you while you sleep there... I'm sternly warning all foreigners stay away from this place... That,Date of stay: January 2020
Alexandra P,,,
Marta T,5 stars night,I would 100% recommend this hostel to anyone staying at Colombo. The staf is súper nice. I had some problems with my booking and they kindly gave me a solution. The breakfast is very Nice. The location is 8 min walking to Colombo Fort Railway station and around the hostel you have many local food options. The rooms are súper Nice and very clean. The bed is very confy and you will have the provacy you need t rest :). Very good option!,Date of stay: December 2019
valkofeeniks,Perfect for 1 night,"+ clean, comfortable + accepts USD or card + AC + location (in a calm street but close to Colombo Fort) ~ no mosquito net but no mosquitos either ;) ~ large diff. in temperature bw. hall (mild), dining room (hot&humid), bedroom (cold), bathroom (mild) - slow, sometimes dysfunctional wifi - breakfast okayish (diff. every day but not much, tea is bitter, we ate better pol roti)  During our 3-week holiday, we stayed in 7 home stays (and we spent 2x1 night in Star Anise). Staff was nice & helpful everywhere, helped us get there, organized programs on demand, arranged tuktuk, etc. These are true for this place too.",Date of stay: September 2019
dumb a,Bad value. Hostel with a blind.,Hostel with a blind at hotel prices. The price quoted isnt the price. Two separate hidden taxes are added on when you arrive. Read the fine print! They dont even pride a place to fill a water bottle. Looking for value go elsewhere.,Date of stay: November 2019
Madiha R,,,
Darya K,Clean and cozy,"We stayed here for two nights in a double bed dormitory and we were delighted with the white bed sheets, friendly personnel and tasty breakfasts. The capsule is equipped with good lightning and a socket to charge your gadgets, the dormitories are well cooled as the AC is on 24/7. We will definitely stay in Star Anise again on our way back.",Date of stay: October 2019
aliasgarhpoonawala,,,
Felix,,,
Michelle Wai Ch... L,Best capsule hotel I have ever been,"I stayed at a double bed dormitory and my 3-night stay is amazing. The room is clean, each bed comes with a blind so we have plenty privacy. The breakfast is amazing Special shoutouts to Laxman and Anne for their excellent service during my stay. Will definitely stay here again when I come to Colombo",Date of stay: September 2019
