user,review_title,review,date
Polina,Price corresponds to the quality,"We had private room with bathroom which is a miracle with this price in Colombo But hostel is not very clean, I don’t recommend have a breakfast here also. Knifes and forks weren’t clean enough. But hostel has a kitchen, so you can cook Really nice and helpful stuff",Date of stay: January 2020
Nhi N,Wonderful location! Excellent staffs!,"If you are looking for a budget and comfortable place right in the center of Colombo, don't hesitate to book Backpack Lanka. We feel very lucky choosing this hostel as it is so convenient for us to travel around. The staffs especially Mr. Malitha Lakshan are very welcoming, friendly and helpful. We were welcomed by his warm hospitality and were introduced the nice places to visit as we only a very short time in this city. From the hostel you can just take a walk about 1 km to Beira Lake, Gangaramaya Temple, further 500 meter you will see the beautiful colonial buildings. If you don't like to walk you can take a tuktuk which is easily found in streets. This hostel is also near some shopping center where you can easily find food at the food court there. We had dinner at the food",Date of stay: October 2019
Tinabombina,The place to go for travel advice,"My partner and I stayed here for one night at the start of our trip.  Niyas was awesome and couldn’t do enough for us.  He helped us plan our route of Sri Lanka, telling us the best places to go and ways to get there.  The room itself was basic but clean and the air-con was good. The walls are very thin so you can clearly hear noise from your neighbours. The shared bathrooms were clean and had hot water.  Breakfast included fried eggs, toast and tea or coffee.   Location wise, there is a food court within walking distance, a mall across the road with a coffee shop inside and around 20-30 minutes walk to galle face green.   For such a cheap price, I don’t think you can ask for much more and I would recommend staying here just for Niyas’ knowledge and advice! Thank you for a great",Date of stay: March 2019
I travel all over the world,My 2nd home,A good place to stay in colombo with excellent breakfast also we’ll cleaned washroom. Good friendly staff very knowledgeable and very care about us. A good notice board all about colombo and SriLanka like to stay onboard again,Date of stay: January 2019
aggie607,"Great location, fantastic staff.","The hostel is fairly basic which is reflected in the price. (Keep in mind Colombo is way more expensive than the rest of the country.) The location is great, close to Galle Road - a keen walker will reach some of the tourist attractions within 20 minutes, otherwise only a short tuk tuk ride away. The success of the hostel is definitely its staff, especially Niyas. Both him and the boys are super friendly and will go out of their way to give advice, help arrange trips, sighseeing etc. Niyas was especially generous with his time and personal recommendations, he actually sat down with us for about an hour to tell us all about Sri Lanka's highlights. We asked a lot of questions and together we came up with a list of places to visit in the   next four weeks. He is definitely a great",Date of stay: January 2019
Vince852,You get what you pay for,"Stayed 1 night here upon arriving in SL and going to other places. My opinion is that this place is quite cheap, and you get what you pay for. Staff is ok, breakfast is included but very basic (toast, juice, egg) My room was without window, with AC, kind of gloomy, but bed was comfortable. I just had 2 pieces of furniture and no deco whatsoever in the room. Toilets and showers were clean which is a good point. If you are on a budget and just stay there for 1 night, that is an option to consider.",Date of stay: September 2018
I travel all over the world,Hostel it was my home and my own room,"A grate place to stay and a friendly environment with excellent customer services, good staff with knowledge about what we need. Good food also excellent with lowest prices. Wow 24 hours I can go out and come always a reception staff available with kind and nice mr. niyas. Thanks for a great advice about side seeing. Grate",Date of stay: September 2018
The Highs,DO NOT STAY HERE,"I stayed here about 5 days ago and still have the bites and itching from the horrendous bedbugs they have there.  I was bitten terribly on my first night and was moved rooms, luckily to a room without bedbugs (I would have moved hostels but didn't have the time) however they did try to give me the same pillows and sheets from my bed bug ridden bed to use.   When I came to check out, I said I didn't want to pay for the first night due to the bites and scars on my arms.  The guy was really rude and told me it wasn't his problem but mine that there were bedbugs.  Apparently if you want to avoid them then you should stay in one of the double rooms. When I said 'so im just checking, you are saying that this is my fault and that anyone who stays in your dorm rooms should expect to be",Date of stay: March 2018
Albert M,Very helpful staff,"Our room was good for us, but the staff were really nice and helpful. We haven't got a plan when we got to Colombo, but they helped us in doing one for a month. Would highly recommend to visit.  Thanks backpack Lanka staff",Date of stay: February 2018
jbaxter99,Chilled,"Great place, owners went above and beyond to facilitate us and actually gave us the plan for our entire trip. Would definitely stay again, really chilled and a great stop of point before Negombo and the rest of our trip.",Date of stay: January 2018
Rocío MP,You get what you pay for,"Exactly as the title: you get what you pay for.  High ++ for having a receptionist at 1am when we arrived from the airport. Friendly staff very wiling to help and organise tuktuk, make recommendations for the trip. We stayed on a private bedroom with a/c. The place smelled nice and shared bathrooms were... avarage.",Date of stay: December 2017
Muhammad Ali Khan,Great staff,I have been to this hotel in Feb 17 and spend 3 nights. Very polite management with good environment. Very near to prime locations and the staff guided us to visit famous places in Colombo. Rates are also great.,Date of stay: February 2017
Predrag T,You get what you pay for,"Great location and customer service. Very welcoming and responsive staff, Lakshan is his name if I remember right. He was very nice. Price is very good, excellent wifi, and very clean toilets. Location is also very good, close to the Liberty mall. A/C in the room was a life saver, it is not possoble to stay in the room without it. What we did not like was that the room was not very clean, walls are dirty, and there are ants on the floor. Not suitable for  staying for more than 2 nights. However, considering the price, it is a good place to stay in Colombo. Would stay there again.",Date of stay: September 2017
AJANTHAN S,Reasonable Stay,"2 times I have stayed in this hotel, Everything is good in terms of proximity to the city, cost, privacy, access to all places quickly, clean, quite, friendly staff, excellent breakfast options, for a quick stay and all comfort.  Keep up the good work Guys!!!",Date of stay: August 2017
Ndumiso M,Back pack Lanka,This was a stop over on the way to Negombo. I decided to stay here cause of the cheap rate but got what I paid for. Bathrooms not the cleanest and was tough to get some sleep as our room was directly adjacent to the main road in Colombo.,Date of stay: August 2017
Sourajit Aiyer,Very well-run establishment; Excellent & helpful staff,"I stayed for 5 days. Location is a huge plus, as most central spots are within walking-distance or a very short taxi ride away so you save on travel time in the city. Staff running the place are very helpful and thoughtful, to the extent packing sandwiches for me in triple-packaging very nicely for a late breakfast which other hostels might not have done. Amenities are neat and clean, Wifi & ACs are good. Price is a great bargain. Recommended.",Date of stay: July 2017
Anna,A very average hostel,"Stayed recently with friends in a 3 bed room on the top floor. Very average hostel and not bad as long as you know what you're letting yourself in for.   The good: The room has AC. Room and toilet were clean. Free breakfast. Felt secure and safe. A good central base for accessing many areas in Colombo via cheap tuk tuk or bus. Helpful staff. Near to ATMs and supermarket. Has communal areas, kitchens and pool table. Our room, unlike the majority, did have windows. We had an ensure toilet and shower.  The bad: Next to very busy road so very loud, even at night. Cupboards and pillows smelled very musty. No bedding provided other than a sheet on the mattress and pillow unless you ask for it (which you will need to as AC makes room cold and it's not adaptable.) Some small ants on one",Date of stay: July 2017
Daniel A,Much better choices in Colombo,"We stayed in a private room for 1 night and overall the stay was uncomfortable and the worst place we stayed in Colombo. The receptionist sleeps downstairs in front of the fridge which was a bit awkward when we were trying to reach the drinks we had in there during the night. Maybe he should sleep to the side of the room.  Location: Good location and close to lots of different amenities. There is a supermarket just next door which is convenient and the hostel isn't far from the station either.  Service: Very bad. Firstly the receptionist short changed us when we bought some drinks and acted as if he hadn't. Secondly, he refused to give another pillow. The pillows are extremely small so it was very uncomfortable to use. Apparently, they do not have any spares.  Room: No windows",Date of stay: June 2017
Muslaki,Worth for a night,"Hot water was super nice. The bed is just fine and the price is fair in the heart of Colombo :) Staffs are helpful, while wifi is unstable.  Free Breakfast was appreciated however it's only limited in fixed 1 hour.",Date of stay: June 2017
