"user","review_title","review","date"
"devinder s","Lovely and centrally located property","Had a privilage to stay in the hotel for  along time last month.one of the most beautiful property in colombo. Great entrance and lovely reception . The staff is well trained helpful and smart . Has beautiful swimming pool with great ambience . open to the resident for a long time. Rooms are spacious with clean bedsheets and nice toiletries. the room service is wanting and much delayed even late at night for a large property. The delay in serving was unexplicable but the manager duty and room service were humble and apologatic for the delay and poor service. it will be pleasure to stay there again. The break fast spread was good and had good variety . The service is prompt and immaculate.","Date of stay: February 2020"
"let's travel now",,,
"Roshan W","Breakfast feast","We had back to back breakfacts at the Cinnamon Grand . I have to mention the hot hot hoppers that was the best i have ever had. The currys were tasty and tge service was excellent . Looking fwd to go for breakfast again. Get real hungry first !!","Date of stay: February 2020"
"Achala c","Nugagama dinner","One of the most heartfelt experiences. Courtious and well mannered staff who will do their best to make you most comfortable. Especially Dhananjaya. Ruwan and Easalage....Good people and delightful service....Will definitely come again.... All the best....","Date of stay: March 2020"
"prasad",,,
"International S","Two Days at Cinnamon Grand","We used the Ceder Room to conduct an exhibition. Services provided were very good, staff were very attentive and courteous. On both days we were served by DULAN, a very courteous young man. He made us feel very welcome and provided a very good service.  The management was accommodating and helped us a great deal","Date of stay: March 2020"
"Ruk A","Tea lounge","Very good service! I love the cinnamon grand it has a great ambience and vibe. The tea lounge is very nice, there’s usually live music, and it’s very classy. Madushaka served us and he was very helpful, kind and friendly. He Made sure we were happy with our drinks and I’m thankful to him for the pleasant experience.","Date of stay: March 2020"
"Ravi P","Nugagama","Very good service and excellent staff good food and very pleasant environment mr ruwan nisal,wasalage,dananja excellent friedly staff and efficient service at all times really enjoyed the meal and environment","Date of stay: March 2020"
"Samadara","T Lounge","We love to chill at the T lounge, have their sushi platter while listening to music!  They have great food at v reasonable prices. Their service is great. Attentive genial, staff,  especially Milan, who is always witha smile!","Date of stay: March 2020"
"Malika Y",,,
"Nicolette A","High Tea at the Tea Lounge  on 5th March, 2020","Excellent High Tea.  The variety of food was super.    Thank you to Chamila and the team for excellent service.    We all had a wonderful evening.  The piano music was good and the trio that took over after was excellent.  Thank you","Date of stay: April 2019"
"Marta","Super Happy Birthday","Best customer service going above and beyond in all aspects! Amazing food, comfortable atmosphere only wish I could fit more in my stomach! Best food in Colombo so far!  Friendly staff will definitely recommend to all.","Date of stay: March 2020"
"Imaad Cuttilan","Cheers Pub","Great and excellent service provides by Akash! Loved the ambience at this place. Great hangout spot and definitely a place I would come back to. Reasonable prices and great food. Looking forward to our next drink!","Date of stay: March 2020"
"Justforkix","Unmatched consistency","I’ve been coming here for many years and I’m always amazed at how good the food is. Damith is always very helpful and knows his quantities (which is something I struggle with). Lagoon is legendary for a reason and I highly recommend it","Date of stay: March 2020"
"Shivaraj S","Tea lounge","Came for a night cap, blown away by the Ceylon Arrack & Irish cafe. Staff was excellent, accompanied by a mellow ambiance. Specifically, Sammuka was fantastic in his preparation of the Cafe Mexicana. Absolutely brilliant, 10/10 recommend!!","Date of stay: March 2020"
"Nims",,,
"Sdulangi@gmail.co","Anniversary","Excellent food. Specially Thai red curry and seafood fried rice. And have to say very friendly customer service and they treated everyone part of Lagoon member ... and wonderful service from Lakshan. 😍😍","Date of stay: March 2020"
"Ayeshan P","Cheers pub","Cheers pub was a chilling place and I recommend this place for anyone who wants to stay chill and hangout with friends.and Priyankara,Manasa,Akash served us in a nice way and was so friendly and helpful. So I ask everyone to try this place out :)","Date of stay: March 2020"
"Sadick Joufer","At Cheers Pub","Today I went to cheers pub cinnamon grand enjoyed food cocktails and excellent customer service manasa,akash,thilanka thank you very much for service, I will recommend this place to my friends and all.","Date of stay: March 2020"
"Nuwan P",,,
"Destiny B","Ms. Bartolomeo","Staying at the cinnamon grand, our server for breakfast, Lakshita, was a great server!! Always brought us heavy cream for our coffee which seems to be hard find in Sri Lanka! Will definitely be back soon.","Date of stay: March 2020"
"malshi p","Dinner at lagoon","Delicious food.. chillie Garlic cuttle fish was so delicious 🙈 Excellent and friendly  service . Love the place ❤️   Such a romantic dinner on the water. 😀 we will be there again soon 🙈 #cinnomonlagoon 😍","Date of stay: March 2020"
"Chivanthi K","Noodles","Food and service was excellent as always. Keep up the good work guys. I would recommend Noodles restaurant at Cinnamon Grand any day to anyone 😊 A must try is the Sunset mocktail which is SO yummy. Vishaka was of great help and and service.","Date of stay: March 2020"
"Navintách","Martini Bar @ Cheers Pub","Nice atmosphere. Well presented. Wide variety of Martinis. Excellent service by Akash! Good knowledge on drinks. Keeps it interesting by having a good conversation. Keep up the good work and wishing you all the success in your future endeavours.","Date of stay: March 2020"
"Savi R",,,
"Vic T","Amazing high tea!","We organised a high tea at Cinnamon Grand for middle of February with over 15 family members. The food was presented well and there was a variety for everyone to enjoy & tasted great! The atmosphere was relaxing and everyone was really comfortable! Most importantly, the service was excellent. We were cared for and the staff were so friendly; in specific a big thank you to Madushanka, Milan & Kapilla for their amazing service! Definitely will be going back again and letting friends and family know.","Date of stay: February 2020"
"WeDiscover8890",,,
"Piume T","The Lounge","The best coffee lounge in town. Relaxing atmosphere . Best service with all the lovely goodies. Kapila/Suren were very friendly and provided a good service . Cinnamon Grand is our all time favorite . Keep up the good work.","Date of stay: March 2020"
"Kalasi W",,,
"Safreena S",,,
"Mohammed Ammar","Coffee Shop Mangala","a friendly enchnting person. excellent at his job and near to perfection when it comes to customer care. goes beyond the  boundaries to provide customers the ambience they want.  they have a great variety of good selection and the music provides a soothing ambience.","Date of stay: March 2020"
"amami fernando",,,
"Shehara F","Shisha bar","I would recommend Priyadharshan a five star waiter as he was welcoming and a good service provider, always available for the customers needs.   The shisha bar is calm and chilled out place next to the pool can have a good time with friends. Good for business meetings too.","Date of stay: March 2020"
"Samuji W","Shisha bar","Must say that there service is really good and the person who served us Mister Priyadarshana is one of their best staffs.served us well with Sheesha and other beverages. Attractive place , such a nice vibe with an amazing hospitality and with a good service.we really enjoyed. Planing to visit again cuz of the great service.","Date of stay: March 2020"
"Manthri d","Lunch at LagoonRetaurant","We are regular visitors to Cinnamon Grand Hotel. We love the atmosphere  and decided to visit the Lagoon  Restaurant today. It was indeed a very pleasant time we had there. The food was wonderful and so was the staff-they were so friendly and Mr. Channa so willingly  helped us to select the food  which was delicious and we enjoyed our visit.It is worth a visit.When we came to the lobby and called over at the Reception Counter Mr. Fahad  was so helpful to me. Our best wishes to the hotel and the caring","Date of stay: August 2019"
"CFS","Cinnamon Breeze","Lovely calming atmosphere and a great place to chill and meet with friends by the poolside. Great cocktails at 50% off on Friday, Saturdays and very unobtrusive and attentive service. Nice band music but still can have a decent conversation","Date of stay: March 2020"
"sriyani r",,,
"Nalindra F","Dinner at echo","Amazing service and even more amazing food!   Curator Pradeep was super attentive and recommended all the best options here. Great vibe for a romantic dinner or even a family outing. Portions are generous and flavorful!   Definitely coming back!","Date of stay: March 2020"
