user,review_title,review,date
Saroj R,Convenient location and helpful staff,Enjoyed our stay at this hotel.  Good beds and clean rooms.  The location is very convenient. The staff at reception are very helpful and do all they can to Help out.  The food is not best - lots of variety on menu but most things were not available.  There are many other options for dinner around the area but we had a breakfast and dinner deal.,Date of stay: March 2020
Graeme B,,,
Arnav Bora,,,
Kai Wah,,,
Khush's Travels,,,
Míra,Very good especially for the price,"Can't say much negative about the hotel. Although we had some better hotel experience throughout Sri Lanka, for the price this is a very good value. The rooms are comfy, equipment is fairly new, the whole hotel is very well maintained. Only the AC  was kind of weird and we weren't able to turn it off but it may have been just our user ignorance.  The thing I valued the most is probably staff's attitude. We had some bad 'high-end' business encounters as we were travelling with a rented tuk tuk so we were a little worried. But the staff from Fairway Colombo was indiscriminate and treated us really well though we didn't arrive in a BMW. They even parked our tuk tuk next to the chairman's SUV which we thought was really funny and laughed with the lady from the car park. Other staff",Date of stay: February 2020
Naveen Anand,Outstanding location and very clean and well kept  rooms.,"Fantastic location. Right in the center of so many restaurants. The beach front is close by, easy to reach by inexpensive tuk tuk. Squeaky clean rooms. Friendly staff. Breakfast is OK, neither great nor bad.",Date of stay: February 2020
eb154796,Colombo Stay,"Fairway Colombo Hotel booked by our  Sri Lankan Tour agent.  2 nights stay. NIce location, overall a decent hotel with usual amenities as expected. Friendly staff. No issues with the hotel or th eroom. But do note that teh Rooftop restauarnt is not actually part of the hotel. Went their for dinner once and was not a good experience.",Date of stay: February 2020
Ксения С,Good hotel for its price,"Very good hotel, nice rooms, polite stuff, excellent service! But I didn’t like its breakfasts, few kind of fruits(almost just papaya and banana), some kinds of hot meat and curry, even sweets were not good :(  But very cool coffee shop and pub at the first floor!",Date of stay: February 2020
leahlovesicecream,Good value for money stay :),"We stayed at the Fairway Colombo for 2 nights in Feb 2020. The room was well presented, neat and clean. Hygiene products were provided in dispensers which I liked given it is better value for the hotel and less harmful to the environment to provide amenities in this way. The nights sleep was comfortable and the airconditioning functioned well. I enjoyed the large showerhead and the water pressure was very good. We were on the second floor so we had a good view of the potted flowers surrounding the roofline of the hotel. The staff were pleasant and english was good. We had pre-arranged train tickets which were stored and provided to us upon check in. The only downfall of this hotel was that the buffet breakfast was very low quality. I would not waste your money on this one. We",Date of stay: February 2020
getgs,Great Short Stay,"When we arrived there was a tour group already there but the staff was most efficient and things moved right along. A member of staff got us up and running with the Uber of SL, Pick Me, which was very handy in Colombo. The room was fine with excellent bed, wifi, AC and shower. Very comfortable in the center of the Fort area. They even have a Starbucks like cafe connected to them by the entrance. Very satisfied.",Date of stay: February 2020
Subhash M,Perfect for a Short Stay,"A hotel very well located near the best restaurants and all attractions. The rooms a re very comfortable and modern decor, with all services functioning perfectly. Truly a five star experience at very affordable price. Breakfast buffet is with the widest variety one can imagine.",Date of stay: February 2020
mobi11,Good hotel,"We stayed for one night and the hotel is modern and clean . Staff and friendly and helpful finding local attractions . There is a roof top bar and restaurant but different owner to the hotel , which is very good",Date of stay: February 2020
Jennifer B,Short stay,"We stayed in January for two nights with a room with balcony, if your looking for a quiet room do not choose a balcony room as they are on the side of the bars and the loud music can go on until midnight or later on a weekend, and they are on the first floor so no view over the city, staff were very helpful in getting room changed the next morning. Food was ok restaurant felt more like a cafe, but plenty of good restaurants in the area",Date of stay: January 2020
Kenny G,Avoid,I checked in for 4 days  when I discovered they were charging me double the price everyone else was paying and the front desk staff were completely unhelpful Breakfast was average or below average I was so disgusted that I have checked out and moved to a standard hotel near by  The Steaurt hotel with larger better equipped rooms with friendly staff at half the price. Save money and have better quality and friendly staff stay elsewhere,Date of stay: February 2020
Ankur Chaturvedi,"Nice clean Rooms, Centrally located","Nice clean rooms. Good bathroom but no toiletries. Service is just about ok. The big put off is the limited spread at breakfast......they don't even serve a cappuccino..... When I asked for one to be served on the table at breakfast, the staff refused!!!",Date of stay: February 2020
Fazeel A,Bad Behavior,"We where here 8 times in the last two years and really like this place with all his facilities as well as service and hospitality from the staff. But what we experienced this time was a very big disappointment right as the beginning. Staff is changing of course, so we can not expect to be welcomed back as known customers but treated like a bad front lady (white colored jacket) and welcomed with bad words and discussion to get the car parked is something which shall never happening in  a hospitality service. We don’t know the lady, seen her first time here but she definitely is not representing the Fairway like we know and appreciated so far. Hope it will be a one time experience only otherwise we have to exclude Fairway from our further selection.",Date of stay: February 2020
shiven1592,"H
Poor and very bad service",Horrible hotel. Situated the back view is dilapidated buildings. Horrible breakfast. Do not cater for vegetarians. Told to eat what's available. Waited 1 hr for biscuit which was not filled. Empty plates left. No waitors. Restaurant staff attitude stinks. Asked  for general manager  did not come. Duty manager  tried to help. Did not provide breakfast pack for early check out. No value. Great pics on trip advisor  do not be fooled.  Smelly bathroom. Definite no go. Still waiting for general  manager to contact.,Date of stay: January 2020
Malgudiboy,Only good -Location!,"Stayed here for 5 nights on business trip. Quick check in. Room size is average. Breakfast- Huge disappointment. Sri Lankan hotels are famous for their local cusine they serve. but here they had just one dish and all four days same dish no change. Same goes with Fruits and main course section. Vegetrains like me happy less options.  Another disappointment : No parking facility, they dont allow our car to park :(, even visitor parking not there.  Only good thing is this palce sourrounded by Old Dutch Hospital, which is lively in the evenings and lot to do near this place.  lastly appericating their staff for their help to lend a umberlla on a rainy evening!",Date of stay: December 2019
Varun K,HORRIBLE SERVICE,"My brother and his girlfriend were staying at the Fairway Colombo, we were staying at an adjacent hotel.   After a long day of shopping, we came back to cool down in their room when the receptionist (Fernando) stopped us saying that only one guest was allowed up, while the other had to wait in the lobby.   ARE YOU KIDDING ME?  We were perplexed why the hotel management wouldn’t allow the four of us up to the room for an hour before we head out for lunch.   They quoted some ludicrous hotel rule that only one guest is allowed in the room at a time. Having stayed at many hotels in my lifetime, I have never had a cap on the number of guests allowed into a room.  I can tell you that I will never stay at this location. The rest of the staff were helpful and kind.  I hope they are more",Date of stay: January 2020
