user	review_title	review	date
aries1321	Good Hotel...Zero Hospitality	"We stayed at Galadari with family in Jan 2020. The reception area is really grand and has perfect setting  of a 5 star hotel. However, the hospitality towards guests is pathetic. There is no good morning/evening/afternoon wishes; just statues waiting at the door with the no smile. Coming to the reception, it took around half an hour for us to get checked-in. The girls at reception were interns and  both of them had least interest in checking in. the general attitude of the staff was , we are giving you an opportunity to stay with us. After getting our rooms, we noticed there were no towels and the flush was not working as well. The flush issue was resolved by the engineer in an hour but we didn't get any towels for the 2 days we stayed there. The room service is as good as no; I"	Date of stay: January 2020
Jazeel N			
Rossana K	A stay to remember	This is a hotel wonderfully located in a key area of Colombo. The rooms are comfortable and the staff is always looking after your needs. The Coffee Shop has a delicious variety of food. We start the morning with a good breakfast and everyone looking after  especially Sanduni who will arrange every detail always with a warm smile.	Date of stay: March 2020
Sabeeha S	Sanduni from the coffee shop is great!	We went for the Sunday lunch buffet and Sanduni s service was top notch!  Truly recommend you hire more people like her.  The lunch buffet also had a lot of seafood options and a huge variety.  Dessert could be better though!	Date of stay: February 2020
chryshp	High Tea	"We went for the high tea to Galadari Hotel. It was extremely great. So much of variety of food. It is a mixture of Short eats,pastas,sandwiches ,sushi, pizza’s, iced drinks ?coffee, tea and the sweet counter is amazing. A group of friends met and it was an enjoyable day. A big thank you to the staff who were very helpful. It is certainly value for money. Any visitor to Sri Lanka high tea is a must."	Date of stay: February 2020
Bob A	Great centrally located choice with excellent service	"I stayed here as I was attending a wedding reception being held at the hotel and wanted to stay as close as possible to the venue.  I looked at hotels in the area and this was the best overall value for a decent quality hotel and for the location.  My stay started at Colombo airport where I approached the hotel's dedicated desk in arrivals looking for help to get me into Colombo as quickly as possible. My plane had arrived late and I had to get to an appointment after dropping my bags. They arrange d taxi for me with excellent service from the hotel. Unfortunately the car broke down on the way so they summoned a separate car and got me to the hotel. They had rung ahead and on arrival I was met at the door and helped with my bags, checked in rapidly and taken up to my room to get"	Date of stay: January 2020
bdatta	colombo	galadari is a huge 5 star lovely hotel. everything is fine but I must mention on our departing morning in the check out counter where a bunh of newspapers were lying' when i asked for a copy the person misbehaved. the location is best possible. ministry of crab restaurant nearby started by sangakara and jayawardhane is strongly recommended	Date of stay: November 2019
GaoAnTian	Vastly disappointing high tea	"This was a very great disappointment. Just a buffet with normal foods, not special, and not all that good. The atmosphere felt like a crowded cafeteria. There was no special ambiance. And not even tea that I could find, just coffee and juice. Finally at the end I saw some green tea bags. What a disappointment."	Date of stay: February 2020
FrankAmr			
Asmma	"Appreciation for Sanduni at breakfast service (Coffee Shop, Galadari Hotel)"	"Galadari Hotel has been our temporary home for a couple of weeks. Everyday we have had breakfast at the Coffee Shop. While the overall service has been good, I would like to give special mention to one of the servers, Sanduni. I have observed her to be the most efficient and helpful server during the chaotic breakfast time. Always proactively asking if we needed anything and working dedicatedly. Here's thanking her and the entire team at the Coffee Shop."	Date of stay: January 2020
abhishek4d	Due for renovation	"I had stayed in this hotel for two nights on a family vacation trip. The location of hotel is simply marvellous. Situated on the sea shore, the rooms provide magnificent view of the ocean waters right outside. Staff is very courteous. The variety of food served in the restaurant is splendid. The welcome area and the reception are really grand! While the services and location are second to none, the age of the hotel was pretty much evident from the blackened and cracked walls of swimming pool, old bell type lifts, inefficient cooling in the rooms and aged furniture and bathroom fixtures. The hotel needs quick renovation to be able to provide all round pleasure to its guests and compete with neighbouring Kingsbury, Shangri-la, cinnamon etc hotels."	Date of stay: January 2020
Gagandeep Bindra	Poorly Managed Hotel	"We checked in on 22 Jan 2020  It took 25 mins to give us the room.  only one switch board in the room.  No towels in the room.  Bathtub was not cleaned properly.  Reception changed our room. 2nd room had problem in WC. Again room changed. It took 3 hrs in this. Finally got a decent room. Hotel needs so much of renovation. Lobby manager ( male- working till 9 PM) was nice who tried to help us in all this. Indian restaurant manager was very nice. Good food in restaurant.  Next morning - restaurant for buffet breakfast- it was again over crowded, poorly managed fnb.  They were just clearing the plates from the table. We asked for water and they showed us the way. That is not the service one expects from a 5 star hotel.   The biggest asset for this hotel is only and only their"	Date of stay: January 2020
Travel Buddies			
Sathish_trichy			
Kalpna K	"Stay at Galadari, Colombo"	"Galadari location is superb, standing alongside with other top graded hotels in the same stretch; out of all Galadari has the benefit of getting full and un-interrupted view over Galle Face and Port City also . Most of the amenities are walking distance such as One Galle Mall (catering branded to local products of high standards)   Our room view was excellent facing Galle face and Port city. Considering hotel location and structure many room benefit from similar views.   Property does require some uplift and we heard that a well-known group was in talks of taking over and which will be a huge plus and both parties will hugely benefit.  We stayed eight nights to attend business matters - all worked out good for us, food was great, staff were very helpful, frontline managers –"	Date of stay: December 2019
desilva430	Fair	Hotel room was outdated and way past due for upgrade  Had plumbing issues too But loved the view and for the price overall it was not too bad  Will I stay there again? Probably not  It was a last minute decision and may not make that mistake again	
Waterene			
Thalatha			
S Jay	High Tea Buffet with an extensive spread!	"The high tea buffet at Galadari (on a Saturday evening) was very impressive, with a spread ranging from juices, iced coffee, cut fruit, finger food, sandwich station, meat kebabs, dumplings, sushi, pasta, pizza, cakes, tarts, waffles, baked alaska etc. plus tea and coffee.  Food was flavoursome and very satisfactory.  Service was very efficient despite the fact that the restaurant was full and the staff were friendly and attentive.  The ambience was nice with live piano music in the background. The overall experience is well worth the price (Rs. 1820 nett per person).  It is recommended to make reservation ahead."	Date of stay: January 2020
Anthony P	It's Best Days Are Behind It.	"When arriving at 3am the last words you want to hear at check-in are ""No"" and ""Sorry""! But these are exactly the words that I heard when I was told that the no-smoking room I had booked was not available. In fairness to the staff member, he did upgrade the room type, but it was not a good start - and that really set the tone for the stay. The hotel's halcyon days seem to be behind it, it is living on past reputation when there are many other properties in the near vicinity which are much better. The room and general decor is old and tired and the staff seem disinterested.  Overall I would not select this hotel again or recommend it to other travelers."	Date of stay: December 2019
Christine	Dinner at the Coffee Shop	"We were here for a dinner at the main restaurant. In terms of food, i had a feeling as it didn't have much choices for the price and the taste wasn't that great. The restaurant was jam packed on that day as it was during Christmas Time, so we couldn't get a chance to enjoy the food with great talk. Staff was very attentive in terms of their service. The restaurant and the entire hotel was vibrant in terms of wonderful Christmas decor and settings. All in all the experience was somethings to be cherished but wasn't up to the expectations."	Date of stay: December 2019
Indrajit			
Shehara Jayakody	Terrible Service of the Management & Staff	"As a regular customer at prominent star-class hotels in Colombo, it is very sad to see the massive decline in the levels of customer service at the Galadari, which is an area the Galadari used to be well known for.  While planning a special family dinner, we decided to hold it at the Galadari and hence first called the hotel on the phone.  In asking some basic details on the available offers and the seating arrangements, we were amazed at the rudeness in attitude and tone of the restaurant personnel in response. The individual maintained that the seating arrangements were not up for discussion and also amazingly said that the staff were too busy and did not have time to deal with telephone inquiries. This was repeated over 3 separate conversations with the hotel. This was truly"	Date of stay: December 2019
Nashid s			
Mokshini J			
