user	review_title	review	date
griechenklaus	Nearly everything perfect	"Everything was perfect in this hotel: quality of the room, of food and drinks. Great hospitality, very friendly nd professional stuff. We stayed in room 2044, which had a large balcony facing the sea. There was only on problem: The music from the carribean beach bar, which stopped only after midnight. This and near-by rooms should have real sound-proof windows! Nevertheless we would stay in this room again because of its great balcony!"	Date of stay: March 2020
Peter M			
Grace R	A pleasant hotel	"We stayed one night before catching our flight home.   Pros:  Beautiful building - very grand and well presented throughout.  Lovely staff.  Fantastic breakfast buffet! One of the best we experienced in our 2 week trip.  Good location by the ocean.   Cons:  Stuffy room with a musty smell.  Poor water pressure in the shower.  Horrible pillows - too soft and rather lumpy.  Light came under the door - coupled with the bad pillows, this resulted in a poor night’s sleep."	Date of stay: March 2020
Mozzie	Stunning Colonial Hotel	"We stayed two nights and wish we had longer. All staff in all areas were amazingly helpful and smiling, I couldn’t have asked for better service. Room was clean and large with a very big balcony, also enjoyed the complementary bar fridge. I stayed in a premium room with balcony which I highly recommend not only for the room but also for the complementary long room happy hour. Very good value for money. Thank you for a beautiful stay."	Date of stay: March 2020
Savi R	Beautiful Galle Face Hotel	"It was a splendid experience.   I stayed in the hotel for two nights (too short), and from the arrival to departure, every staff member I had to deal with was nothing but helpful.  Very rare customer service experience.   Lovely breakfast, restaurants.  In short loved everything."	Date of stay: March 2020
Kate R	Grandeur of days long ago.	Our one night stay at the Galle Face Hotel was the final night of a wonderful tour of Sri Lanka. The Hotel is wonderfully located overlooking the harbour and we had a brilliant sunset the night we were there. The eating and drinking areas are the best part of the hotel as they overlook the water. The reception when we arrived wasn't up to the standard we had come to expect in the other hotels we stayed at. Not enough care was taken and not enough explanation of the room and the hotel's facilities. We needed a technician to fix the air conditioning and the room had a smell of damp. The hotel is very grand but it IS old.	Date of stay: March 2020
Niki S	Magical wedding venue	"We planned my brother's wedding here last month because this is where our grandparents were married in 1951. It went off without a hitch. Cocktails on the chequer board at sunset, and the ballroom lit up with fairy lights was beyond magical. The food surpassed all expectations! Service and staff went above and beyond for all of us. Amila was our point of contact at the hotel and he made sure my brother and his wife got everything they wanted for their special day. It was truly a pleasure working with Galle Face Hotel."	Date of stay: February 2020
Vmn	Warm hospitality	"Next day to the full moon Poya day, I was able to step in to the most historical and iconic hotel in Sri Lanka. It was a busy day, and I was there for a business purpose. Ms. Ivoni, saw me that I was seated for a while, she walked towards me and asked whether she could offer something! I didn't want to refuse, then she served me a lime juice with milk toffee. Sour with sweet, best combo ever had. It was my pleasure being there, without any hesitation I would recommend this hotel for all the travellers around the world!!"	Date of stay: March 2020
Kari R			
Martin L	Probably the BEST hotel in the world!	"Classic, charming, laid back historical hotel on prime real estate in the city, overlooking the ocean. All details are attended to and with several good dining options.! With history in the walls, this is a treat and an experience!"	Date of stay: March 2020
Fabienne	excellent	"Galle Face hotel is superb, facing the ocean.  The staff is excellent, very kind and helpful.  One of the receptionist helped me to arrange my sari that I’ve waered  for a wedding and I was not use to wear one, thank you again.  Keeth, our room attendant, is excellent, helpful and very king person, thanks also to him !  We will definitely come back"	Date of stay: March 2020
Jean B	Excellent	Stayed at this hotel for our first night of our first visit to Sri Lanka. My husband has mobility difficulties and the staff at Galle Face Hotel were so helpful and caring. Lovely room overlooking the beach everything to an excellent standard. Our thanks to everyone at Galle Face.	Date of stay: March 2020
anilpras	Good team work for events	"Our college (Sri Lanka College of Microbiologists) for the first time booked Grand Ballroom  of GFH for our induction of the President and oration. This event was smoothly carried out with preplanning with Nimanthika. We got a nice area for photographs of the council, good table decor and excellent service. Our morning tea had savoury and sweet items fresh fruits, fruit juice, tea and coffee. Even the vegetarians had a good choice. Lunch was buffet with good spread and a dessert table to satisfy sweet lovers.  quick replenishment of the items with helpful service attached praise from the members. Car parking is also not a problem since there is ample parking in the premises."	Date of stay: February 2020
