user,review_title,review,date
LornaWatson,Pleasant stay,"I was a bit dubious about this hotel having read some of the reviews, but went ahead as was only one night and it was very reasonable, in fact cheap.  I was pleasantly surprised.  The room was clean and comfortable, the staff were all helpful and pleasant.  I had an enjoyable drink and very nice dinner with superb views in the rooftop bar and restaurant.  What more do you need for a stopover in a very convenient central location?  I would have no hesitation staying here again.",Date of stay: February 2020
cabeysiriwardhane,Theme Night - Valentine Gala Dinner,One of the best Theme night we have visited. One of the best senary of Colombo harbor.  The arrangement of the restaurant was excellent. The Buffet and the spread have been arranged in a beautiful manner.,Date of stay: February 2020
Speranzasf,Please lower your expectations - avoid 4th floor,"The BUILDING is iconic but the hotel is just a basic roof to stay in Colombo if you just need shelter for 1 night and you are on a limited budget.  PLEASE avoid 4th floor. This is a hotel with an old floor plan design so there is not back hallways meaning that housekeeping,  banquets and culinary trolleys and carts will be pushed all day and NIGHT through the guestrooms hallways on this floor. The reason is because the meeting rooms are on this floor and if there are functions there will be a parade of trolleys as long as the functions last including at night. When I stayed at GOH there was a police gathering reunion (evening function) in one of the meeting rooms and the event ended by midnight so the trolleys and carts were back and forth until 2am! I stayed in room 428.  Good",Date of stay: February 2020
Megan F,"Great stay, as expected","The hotel was in a great location. It was easy to walk everywhere. The room was fine. The hotel is a bit run down, but the old colonial charm makes up for it. We had a good stay. The breakfast was nice, but expensive. We were there on a holiday, and it was the only option, so it was even better! If you expect 5 star, this hotel will disappoint, but as a room and shower, it was great. We would stay again.",Date of stay: February 2020
Gerry B,,,
Imaya De Alwis,,,
Dani C,,,
LibbyDevon,An authentic Sri Lankan experience,"We stayed at the GOH from Saturday 25th Jan until Monday 27th and were charmed. This is an historical location, right where travellers docked and gained their first impressions of 'Ceylon'. Having flown in overnight we were greeted with courtesy and a welcome drink, and shown to a clean, quiet spacious room. Certainly the decor is a little tired, but it's got bunches of character. If you want to go to a swanky could be anywhere in the world establishment, and pay 4x as much go ahead. The staff at the GOH were charming and made our stay a pleasure. Would thoroughly recommend to those discerning enough to appreciate the old world style. Well done GOH !",Date of stay: January 2020
Kosala Dissanayaka,what nice view,I've been there for my brothers wedding. well organized place and also the top floor where i found the bar was amazing. nice view of colombo port and port city. also food. good quality. we had a great time.,Date of stay: August 2019
Corinne G,Grand Orient Hotel,"Although this old hotel is rather worn, we had an excellent stay. The staff were lovely and the location safe and accessible. We loved the Harbour Restaurant on the fourth floor with its panoramic view of the harbour. Good food and reasonably priced wine.",Date of stay: January 2020
Prada,,,
Caleb J,,,
ravi g,Old style charm - very much dated,A colonial era hotel in Downtown colombo facing the harbor. Everything seems a bit dated but the staff make an effort to keep it prim and running . Would recommend the harbor room for dining as itÍs value for money and a good variety of food in the buffet.has an excellent birds eye view of the harbor.,Date of stay: December 2019
JamesHW9905RU,,,
ashishdeora123,nice,"Breakfast was very good, comfortable beds, staff very nice  . Location not far from train station.Beautiful old building, great viev over the commercila habour of Jaffna Central Location in the Colombo Fort area",Date of stay: August 2019
sksandeep,,,
Jack Price,Dated and unpleasant,"The room is extremely old and dated, the bathroom is far worse. The design is dysfunctional and unpleasant. Bed linen was moth eaten and the room was poorly designed and maintained. Staff were not friendly nor helpful, offering no greeting on our arrival and remained this way for our entire stay. The room was moderately clean.",Date of stay: September 2019
koss A,,,
Madara Perera,NEEDS A MAJOR FACELIFT..,"Past glory...this place is really tired and old. I do not understand why the management still not doing anything or planing to go for an immediate renovation.. They need it badly.... Just damped and humid walls, and smells due to that I think.  Also they need to change from the furnishing to the staff visibility at earliest possible. I think being an old and heritage became super marketing trend but the look and feel of this hotel only rely on past glory. they can do more and do a facelift to keep their old colonial grand look and the same time city luxury with no fail on maintenance. We love this place as its most iconic here in the city, but in a situation like this unfortunately we can not recommend for anyone anymore  except the feeling of historic and amazing architecture",Date of stay: August 2019
Moha,,,
Guruyb,Fantastic heritiage hotel,The location of the hotel cant be anything better. its located infront of the colombo port and next to the police head quarters. Its a very old hotel one of the landmarks during its day. it manages to retain the hertitage look and great value for money.  i have given 4 stars as the room is old and requires immediate renovation. but for the price you pay its more than worth it.  I would highly recommend this place,Date of stay: July 2019
kontrabida,,,
Camila Ogawa | Japarioca ________,Old and smelly,"The hotel has more than hundred years history. MustÍve been an iconic place in the past, but nowadays itÍs only too outdated. IÍve stayed in hotels with long history before, this one has no charm on it. When we arrived a security guy checked our bags (I believe it started since the sad incident that happened this year), he opens our bags and check it using his hands. ItÍs not really effective and can be unpleasant. One of the things that I noticed since my arrival was the smell of the place. It smells old and humid, might not be a good choice for people with allergies or respiratory sensitivity. My room was also quite smelly and the smell quite stays in your clothes and hair. The room was outdated but ok, the bed was two twin bed together and can be uncomfortable for couples",Date of stay: August 2019
NYLON_nomad,Price for the value,I must assume that it was regarded as a grand hotel in the past but it is aging and standard is sub par against the modern standard.  I should said that hotel staff are friendly and nice.  Rooms are clean enough for budget travelers.,Date of stay: August 2019
Damidu S,Great Place to explore Colombo,"Since this is located at the heart of the Colombo City, This place is ideal for anyone who really wants to explore the commercial Hub of Sri Lanka. Rooms are pretty good and neat. Parking maybe a problem, But luckily it wasn't for me.",Date of stay: July 2019
Rosario_it,Quite dated but also quite nice,"In the past this hotel shpuld have been quite luxury with a nice view on the harbour. Nowadays, the hotel is quite dated even though it's still attractive and fashionable. My room was not very modern but not too bad. The location is good to visit Colombo.",Date of stay: August 2018
BaldrickLondon,Good value for money,"An old colonial hotel with a certain charm of faded glory about it.  Nice big comfortable rooms and staff who still provide old fashioned service.   The restaurant has good views over the harbour and the food is very good.   Situated in the old colonial area of town which, like the hotel, is still in a bygone age!",Date of stay: March 2019
eeral21,Historic,"Stayed 3 nights at the Grand Oriental Hotel. The foyer is quite lovely and was there for Christmas so the decorations were brilliant. It is a very old hotel and has some history, the rooms are outdated and do need to be refurbished however, it was okay for a few nights. The staff were great, helpful and friendly!",Date of stay: December 2018
301lisa33,Grand old place,"This is a hotel with a long history.  It is quite shabby in places but the grandeur is still evident. The lobby is very splendid. We visited but didnt stay  The 4th floor restaurant/bar overlooks the port, and does have a small area of outdoor seating.  An interesting view.  Coffee was decent, though unsurprisingly pricey",Date of stay: March 2019
OntarioTrekker,Grand old hotel that needs serious updating.,I just stayed one night prior to a cruise but would not recommend a longer stay since the harbour area is not attractive or perhaps safe.  My room had a queen bed complete with curtains and was big enough for a couple.  Bathroom showed signs of mildew.  I had booked an airport transfer but they did not show.   Large breakfast buffet with lots of options.,Date of stay: February 2019
lovethisplanet2014,Outdated but OK,It is a huge old hotel complex. Furniture and fittings (feel like they) are from the seventies. Rooms are ok (safe and clean). Good views from the restaurant in the 4th floor onto the harbor. Buffet breakfast or buffet dinner OK with many choices.,Date of stay: April 2019
Antash,Comfortable Stay@Antique hotel I say,"It gives a feeling of Heritage hotel. Ambience of room and ground floor restaurant is really superb. Restaurant at 4th floor offered buffet, with awesome view of Colombo harbor. Nice location. View of the city from rooms were refreshing. Courteous hotel staffs.",Date of stay: March 2019
Karen,,,
martin v,old charm with very good service,"It was our hotel for the first and last nights of our trip. Located in the heart of Colombo Fort, the grand dame recalls a previous era which is its charm. In room 341, the hot water takes awhile but eventually gets there. The AC unit's condensation leaks in the corner of the room., be sure not to put anything underneath that must not get wet. The Saturday and Sunday buffets in the 4th floor restaurant were excellent with a wide variety to choose from.  There is a Spa facility, also on the 4th floor but didn't see any mention of it in the room. There is a small museum ( a small room) on the 4th floor but unfortunately it is locked. You can look through the glass doors to see some old artifacts.",Date of stay: March 2019
